IDENT;NOPOSTE;SEXE;AGE;DIPLOME;STATUT;CONTRAT;TEMPS;HEURES;MOTIF_ABS;SALAIRE_NET;PRIME;ANCIENNETE;SECTEUR;REGION
02059101;1;1;37;5;1;1;1;30;;3 164,95;;5;BE;28
02063931;1;1;46;1;2;1;1;26;;3 243,43;;3;HZ;32
02064391;1;1;49;7;1;1;1;38;;5 045,24;;4;AZ;28
02066330;1;1;51;5;1;1;1;35;;4 347,84;1 688,45;6;JZ;11
02066952;1;2;32;5;2;1;1;40;2;3 415,40;211,97;0;HZ;93
02068219;1;2;43;3;1;1;1;47;;1 363,42;878,10;6;HZ;28
02068219;2;2;43;3;1;1;2;30;;1 207,61;2 018,31;2;JZ;28
02070646;1;2;38;5;1;1;1;51;;3 756,82;;2;OQ;76
02070646;2;2;38;5;1;1;2;14;;1 084,83;;2;FZ;52
02072577;1;2;25;3;2;1;1;49;2;3 418,85;;3;BE;75
02073432;1;2;23;3;1;1;1;42;;2 843,41;221,62;2;RU;11
02073750;1;2;31;7;1;1;9;57;;8 764,74;;0;OQ;11
02073750;2;2;31;7;1;1;2;18;;2 307,77;838,42;15;MN;11
02073905;1;1;44;3;3;8;9;60;4;0,00;;-1;HZ;28
02074985;1;1;37;4;1;1;1;43;;1 395,68;;4;GZ;52
02076086;1;1;61;4;3;8;1;58;;0,00;;-1;OQ;84
02076990;1;2;40;6;3;8;2;29;;0,00;;-1;GZ;27
02077245;1;1;20;5;1;1;1;35;;1 669,88;;1;OQ;76
02078219;1;2;55;2;1;1;2;23;;1 385,25;;4;RU;28
02081779;1;2;26;1;2;1;9;37;;640,25;759,62;2;GZ;11
02082199;1;2;31;7;1;1;2;20;;1 247,58;161,84;2;GZ;32
02083199;1;2;57;5;1;1;1;34;;2 265,50;;3;GZ;44
02083643;1;1;51;6;3;8;1;60;;0,00;;-1;BE;32
02083825;1;2;57;3;1;1;1;36;;999 999,00;;19;RU;84
02084108;1;1;56;7;2;1;1;47;;2 915,96;;0;OQ;75
02087814;1;1;54;1;2;1;1;38;;3 253,67;783,27;2;GZ;11
02088232;1;2;32;1;1;1;2;9;;1 185,40;;16;MN;32
02088232;2;2;32;1;1;1;2;16;;889,58;;13;OQ;32
02088441;1;1;56;5;1;3;9;42;;2 684,03;;8;BE;93
02090167;1;2;57;9;1;1;1;37;;2 380,02;;12;OQ;32
02090699;1;2;44;6;1;1;1;40;;3 814,88;;4;OQ;93
02091076;1;2;58;5;1;1;9;38;;2 798,02;735,68;12;MN;84
02091243;1;2;49;4;1;1;2;30;;3 142,72;894,70;21;MN;93
02092255;1;2;43;5;1;9;2;28;4;999 999,00;603,00;4;BE;27
02092321;1;1;46;4;1;3;1;33;;3 747,41;;18;BE;32
02094548;1;2;46;4;1;1;1;40;2;2 173,98;2 086,80;2;BE;84
02095703;1;1;46;3;1;2;1;31;;2 678,68;;7;JZ;53
02095703;2;1;46;3;1;1;9;41;;2 301,23;546,41;7;GZ;44
02095882;1;2;56;1;1;1;9;42;;2 621,04;;7;HZ;76
02102628;1;2;61;6;2;1;2;22;;1 414,45;;0;MN;11
02102628;2;2;61;6;2;1;2;20;;1 110,65;799,50;11;GZ;44
02104086;1;1;56;6;1;1;1;29;;4 703,08;1 171,27;3;HZ;75
02105503;1;2;21;4;2;1;1;32;;2 546,41;;2;JZ;11
02107455;1;1;59;5;2;2;2;19;;897,78;686,61;1;JZ;84
02107559;1;2;49;5;3;8;1;48;;0,00;;-1;GZ;11
02110480;1;1;29;7;1;1;1;34;;999 999,00;425,35;1;GZ;27
02112829;1;2;31;4;3;8;2;45;;0,00;;-1;MN;84
02112842;1;2;27;5;2;3;1;60;;3 992,09;;4;BE;52
02115331;1;2;48;7;1;1;1;29;;2 672,92;2 203,09;0;RU;52
02115331;2;2;48;7;1;1;1;41;;3 247,74;;8;OQ;32
02115678;1;2;60;7;2;1;1;33;;5 299,71;;7;BE;32
02116336;1;1;58;4;1;1;1;32;;2 886,25;;14;FZ;53
02116888;1;1;15;5;1;1;1;42;;999 999,00;2 459,49;0;GZ;53
02117076;1;2;63;6;1;1;1;39;;999 999,00;;1;OQ;11
02118749;1;1;46;6;1;1;1;33;1;2 287,92;;8;FZ;11
02119236;1;1;24;6;2;1;1;35;;999 999,00;2 009,84;8;OQ;75
02119236;2;1;24;6;2;2;2;11;1;2 172,06;2 995,83;8;JZ;32
02119269;1;2;27;7;1;2;1;39;;2 475,94;;1;OQ;11
02121054;1;2;37;3;2;1;1;35;1;1 784,44;;1;MN;28
02122147;1;2;39;3;1;1;2;25;;1 120,66;;1;OQ;53
02122494;1;1;29;4;1;1;1;48;1;1 979,88;934,46;13;BE;11
02122905;1;1;28;7;1;1;1;31;;1 348,96;;4;OQ;93
02124063;1;2;67;3;1;1;1;48;;1 886,29;1 009,14;7;BE;11
02124137;1;2;27;9;2;1;1;39;;3 517,60;284,49;8;GZ;32
02124137;2;2;27;9;2;1;1;47;;3 629,34;452,73;0;FZ;93
02124998;1;2;36;4;1;1;2;29;;1 830,26;;15;MN;75
02125261;1;2;36;1;3;8;1;58;;0,00;;-1;MN;11
02126704;1;2;31;6;3;8;1;57;;0,00;;-1;GZ;76
02127710;1;1;39;3;1;1;1;36;;2 275,27;273,81;13;GZ;11
02128146;1;1;47;3;1;3;1;34;4;1 880,93;778,92;14;OQ;52
02128566;1;1;35;7;1;2;1;35;1;3 578,41;;1;MN;75
02129593;1;2;31;4;2;1;2;20;;763,44;;4;FZ;11
02131317;1;2;50;5;1;1;1;99;;999 999,00;1 240,51;3;FZ;93
02132007;1;1;38;7;2;1;1;40;;4 063,21;;22;BE;11
02132007;2;1;38;7;2;1;2;22;;1 413,83;2 441,17;2;BE;93
02132273;1;1;23;1;1;1;1;42;;984,02;482,91;7;MN;76
02133328;1;1;48;7;2;1;1;50;;3 008,28;;7;FZ;53
02133848;1;1;43;4;2;2;1;35;;2 308,92;;7;OQ;84
02138910;1;2;44;4;1;1;2;14;;1 102,11;;16;OQ;76
02139934;1;2;26;3;1;1;2;15;;963,95;3 133,79;7;OQ;75
02140450;1;1;64;4;1;1;1;36;1;3 648,10;;3;JZ;75
02141628;1;1;56;2;1;3;1;47;;5 165,35;1 833,91;1;MN;28
02143029;1;2;23;4;1;2;2;11;;897,96;607,65;3;FZ;84
02143788;1;2;63;9;1;1;1;36;;3 192,99;441,79;17;FZ;76
02147916;1;2;52;3;3;8;1;55;;0,00;999 999,00;-1;GZ;28
02148127;1;2;27;2;1;1;1;30;;1 603,30;783,89;0;GZ;76
02150161;1;2;36;9;2;1;1;50;;999 999,00;;7;GZ;93
02150264;1;2;34;3;1;1;2;13;;941,81;;18;HZ;93
02151855;1;1;20;1;1;1;1;50;;1 511,32;892,10;2;OQ;93
02153726;1;1;35;3;2;2;1;49;;999 999,00;;5;BE;76
02153803;1;2;51;1;2;2;2;26;;2 425,85;826,84;9;OQ;44
02154815;1;1;52;3;3;8;1;50;;0,00;;-1;GZ;93
02157576;1;2;54;4;1;1;1;40;;2 455,03;4 327,79;3;BE;28
02158073;1;1;24;3;1;1;2;23;;998,42;316,35;8;BE;84
02158990;1;2;51;3;3;8;9;39;;0,00;;-1;MN;44
02160039;1;1;56;7;1;1;1;41;;2 310,07;549,69;3;JZ;32
02160550;1;2;44;7;1;2;1;31;;4 510,73;365,12;3;OQ;32
02161819;1;2;22;3;1;2;2;23;;2 477,90;1 116,72;6;JZ;76
02164523;1;2;36;4;1;1;1;45;;2 820,57;;9;OQ;76
02164847;1;2;24;3;2;1;9;42;;2 821,97;;8;GZ;53
02169183;1;1;62;6;1;1;1;40;;6 372,50;999 999,00;1;FZ;27
02171434;1;2;44;6;2;1;1;39;;4 662,16;1 627,26;15;BE;32
02172188;1;2;32;1;1;1;1;37;;2 226,51;999 999,00;6;BE;24
02174815;1;1;45;3;2;1;2;16;;999 999,00;1 295,57;2;BE;44
02175337;1;1;42;4;3;8;1;51;;0,00;;-1;FZ;11
02175564;1;2;56;7;1;1;1;45;;2 875,71;;7;BE;76
02175564;2;2;56;7;1;1;2;9;;1 910,74;738,47;5;OQ;75
02177290;1;2;27;4;1;2;1;34;;2 097,99;4 907,04;8;OQ;84
02177710;1;2;21;9;1;1;1;40;;1 660,70;275,55;5;OQ;52
02178165;1;2;45;5;1;1;1;42;;3 440,62;;13;BE;28
02180212;1;2;57;3;1;1;2;11;;2 196,21;;0;OQ;44
02181622;1;1;62;3;1;1;1;36;;1 929,56;;15;JZ;32
02181622;2;1;62;3;1;2;2;18;;1 727,98;;5;BE;11
02182133;1;2;37;5;1;1;1;27;;1 570,06;999 999,00;0;AZ;84
02183617;1;1;26;5;1;1;1;30;;1 194,70;3 170,45;0;BE;32
02185535;1;2;41;4;1;1;9;33;1;2 872,24;1 166,30;1;MN;76
02186170;1;1;31;4;1;1;1;38;;1 978,89;718,31;2;OQ;11
02186630;1;1;48;6;1;9;1;38;;2 022,79;2 036,59;1;RU;84
02189955;1;1;49;3;1;1;1;44;;4 306,35;;1;FZ;84
02190476;1;1;51;3;2;1;1;39;;2 579,50;;7;BE;11
02192322;1;2;70;2;1;1;2;12;1;1 621,55;;1;BE;44
02196753;1;1;44;7;2;1;2;12;;3 103,80;1 469,45;1;HZ;52
02197216;1;2;64;5;1;2;1;36;;999 999,00;870,89;8;GZ;84
02197345;1;2;59;4;1;1;1;28;;3 226,72;1 004,46;8;GZ;32
02198530;1;1;52;5;1;1;1;36;;4 432,01;1 541,56;3;OQ;32
02202536;1;2;69;1;1;1;1;31;;3 083,13;;20;BE;52
02203502;1;1;48;3;1;1;1;38;;2 628,57;1 549,30;1;OQ;44
02203599;1;1;42;9;2;1;1;43;;2 478,32;4 512,88;16;JZ;11
02203632;1;2;36;1;1;1;2;20;1;758,09;999 999,00;3;GZ;76
02203632;2;2;36;1;1;1;1;59;2;2 069,22;2 039,62;2;RU;93
02204579;1;2;31;3;3;8;1;60;;0,00;;-1;BE;52
02204630;1;1;40;3;1;2;1;41;;1 944,08;804,42;1;GZ;53
02208777;1;2;37;3;2;1;1;36;;2 596,72;379,51;0;MN;53
02209104;1;2;58;3;1;1;2;27;;458,41;;0;GZ;11
02210943;1;1;36;4;1;1;1;31;;3 670,29;661,40;12;BE;75
02213810;1;1;62;4;2;2;1;40;;999 999,00;999 999,00;8;BE;75
02214105;1;1;21;3;3;8;1;43;;0,00;;-1;MN;84
02214282;1;2;54;4;1;1;9;40;99;999 999,00;;7;OQ;11
02215755;1;2;42;4;1;1;1;40;;3 158,42;2 954,02;6;OQ;76
02218358;1;1;40;1;1;1;1;37;;2 541,96;321,46;3;GZ;32
02218358;2;1;40;1;1;1;2;22;;1 746,77;1 394,18;24;OQ;84
02218373;1;2;22;4;2;1;1;43;;3 152,59;910,29;3;OQ;84
02222553;1;1;40;3;2;1;1;35;;2 728,61;265,49;4;BE;76
02224618;1;2;30;9;1;1;1;32;99;999 999,00;556,19;14;FZ;93
02227510;1;2;30;3;3;8;1;50;;0,00;;-1;JZ;75
02228729;1;1;58;5;1;1;1;30;9;3 716,60;;10;JZ;24
02230125;1;1;52;3;1;1;1;39;;2 374,26;1 177,89;16;GZ;27
02231672;1;2;21;1;1;1;1;38;;2 524,62;1 150,03;5;BE;44
02231672;2;2;21;1;1;1;2;26;;999 999,00;;2;JZ;44
02232658;1;1;35;3;1;1;1;42;;1 622,99;;1;GZ;27
02236411;1;2;64;1;1;1;1;39;;3 882,83;;5;MN;27
02238080;1;1;59;3;1;1;1;39;;999 999,00;;8;MN;32
02238080;2;1;59;3;1;1;2;20;;3 110,76;999 999,00;11;BE;84
02239316;1;1;61;7;1;1;1;42;;3 324,42;1 526,52;0;BE;32
02241590;1;1;24;3;1;1;9;36;;1 787,80;;6;GZ;44
02241615;1;2;39;6;1;1;1;42;;999 999,00;;7;BE;75
02242215;1;1;35;1;2;1;1;38;;2 374,40;1 609,39;2;OQ;75
02242215;2;1;35;1;2;2;2;10;;476,29;1 749,98;0;MN;11
02245968;1;1;57;7;1;1;1;39;;2 474,90;391,57;2;RU;44
02246555;1;1;54;6;1;1;1;40;;8 644,78;999 999,00;1;OQ;11
02249188;1;1;42;3;1;1;1;32;;3 929,27;;14;JZ;76
02249249;1;1;45;7;1;2;1;36;;3 623,88;505,61;2;HZ;84
02250290;1;1;37;6;1;2;1;33;;3 437,91;;7;GZ;28
02250848;1;1;50;4;1;1;1;41;9;999 999,00;1 221,33;13;RU;11
02250848;2;1;50;4;1;1;2;15;;2 193,94;429,77;2;OQ;28
02251320;1;1;57;3;1;1;1;46;;3 353,14;;0;RU;44
02251877;1;2;29;9;1;1;1;33;;3 183,43;;1;MN;11
02252069;1;1;35;7;1;1;1;40;;4 999,09;551,88;1;BE;11
02252803;1;2;26;7;3;8;2;37;;0,00;999 999,00;-1;GZ;53
02254349;1;2;42;4;1;1;1;34;9;3 515,85;;15;OQ;32
02255161;1;1;35;6;1;1;1;44;;999 999,00;2 532,13;15;MN;76
02255161;2;1;35;6;1;1;2;27;;3 002,88;1 570,48;1;BE;32
02261009;1;1;43;6;1;1;1;29;;2 611,43;926,77;1;OQ;24
02261724;1;1;59;3;2;1;1;48;;2 905,79;1 548,31;14;GZ;52
02265488;1;2;32;3;3;8;1;99;;0,00;;-1;BE;44
02266664;1;1;47;9;1;1;1;32;;1 904,84;;3;GZ;44
02268193;1;1;28;3;1;1;1;43;;1 496,00;538,33;6;FZ;84
02269035;1;1;53;7;1;1;1;99;;4 214,05;2 170,85;6;BE;76
02270379;1;2;61;7;1;1;1;99;;5 657,16;886,73;1;BE;11
02270385;1;1;25;6;2;1;1;31;;10 000,00;3 183,58;5;GZ;52
02271001;1;2;61;7;2;1;9;13;;2 498,76;1 319,47;8;OQ;75
02272892;1;1;45;5;2;1;9;9;;3 761,49;;10;GZ;32
02273363;1;1;63;6;2;1;1;39;;10 000,00;;3;OQ;27
02273499;1;1;40;4;2;1;1;42;;4 143,45;;3;JZ;27
02273906;1;1;28;7;1;2;1;39;1;3 609,59;;2;BE;93
02274626;1;2;24;3;2;1;1;45;;1 934,59;;8;GZ;76
02277507;1;1;25;7;2;1;1;47;;2 510,60;;1;GZ;84
02277507;2;1;25;7;2;1;2;19;9;1 707,30;1 520,01;9;MN;44
02284519;1;1;46;3;2;1;2;8;;2 458,75;;5;OQ;11
02284519;2;1;46;3;2;1;2;12;1;2 619,63;;30;GZ;84
02288930;1;2;45;6;1;1;1;47;;4 105,43;;7;GZ;32
02288930;2;2;45;6;1;2;9;10;;1 679,26;;8;MN;76
02289040;1;2;61;3;1;1;1;39;;3 156,63;526,14;5;MN;75
02289698;1;2;46;2;1;1;1;35;;999 999,00;831,82;3;OQ;32
02290096;1;1;23;2;1;2;2;27;;830,44;;5;JZ;11
02293360;1;1;51;4;1;1;1;49;;2 895,92;534,24;4;FZ;52
02294276;1;1;51;2;1;1;1;38;;2 134,82;766,32;3;GZ;11
02294298;1;1;32;3;1;1;1;31;9;2 333,22;1 365,53;16;BE;11
02294437;1;2;56;5;1;1;1;47;1;3 552,61;;1;OQ;44
02295523;1;1;42;6;2;1;2;12;;2 301,71;;7;GZ;32
02297794;1;2;47;3;1;1;1;40;;3 683,45;1 758,07;6;OQ;84
02299511;1;1;23;6;1;2;1;38;;999 999,00;1 220,47;7;GZ;75
02299608;1;1;51;7;1;1;1;43;;2 269,92;;2;RU;84
02299620;1;1;29;2;1;1;2;22;;882,48;2 889,56;10;JZ;52
02301070;1;2;42;6;2;2;1;40;;1 416,06;3 501,44;0;BE;32
02301854;1;2;50;4;1;1;2;15;;999 999,00;2 777,25;2;MN;27
02304679;1;1;50;4;1;1;1;28;;2 327,75;;7;MN;76
02305483;1;2;23;7;1;1;2;29;;726,45;;7;HZ;11
02306662;1;1;50;3;1;1;1;60;;1 708,42;;2;MN;27
02309327;1;1;54;6;1;1;1;29;;1 860,16;999 999,00;2;OQ;27
02310092;1;2;49;9;1;1;2;26;2;743,63;1 707,44;1;OQ;93
02310449;1;1;62;9;1;1;1;35;;1 846,18;1 585,03;0;GZ;32
02311658;1;1;50;1;1;1;9;41;;1 577,22;;1;OQ;53
02312267;1;1;24;5;1;1;1;45;;2 323,27;298,31;6;OQ;44
02317461;1;1;55;3;2;1;1;37;;6 918,13;;12;MN;44
02318656;1;2;23;1;1;1;1;99;;911,48;594,63;4;OQ;75
02319289;1;1;59;4;1;1;1;31;;2 524,24;11 796,93;3;JZ;32
02321905;1;2;29;3;1;1;1;35;;2 480,24;;1;BE;53
02322443;1;2;54;6;1;1;1;38;;3 652,55;;3;RU;44
02324141;1;2;32;7;1;1;1;40;;999 999,00;;2;GZ;76
02324820;1;1;60;3;1;1;1;31;;2 206,58;;1;OQ;53
02325467;1;2;26;7;1;1;1;44;;3 867,98;1 222,75;10;OQ;52
02326461;1;2;25;6;3;8;2;18;;0,00;;-1;OQ;28
02327036;1;2;62;3;2;1;2;29;1;1 878,10;;1;GZ;24
02328691;1;2;44;1;3;8;1;38;;0,00;;-1;GZ;93
02328702;1;2;64;2;1;1;2;25;;1 609,09;;2;GZ;84
02329272;1;1;29;5;1;1;1;38;;1 608,33;;0;FZ;75
02330445;1;2;51;7;1;1;1;44;;4 135,20;;4;GZ;44
02330681;1;2;52;3;1;1;1;38;;4 262,57;256,55;23;BE;84
02332951;1;1;28;7;2;1;1;34;4;3 516,02;313,06;7;GZ;32
02335021;1;1;31;4;2;1;1;39;;2 396,41;2 105,07;3;RU;11
02335364;1;2;35;5;2;1;1;36;;2 206,66;;1;HZ;93
02335364;2;2;35;5;2;1;2;23;;2 780,46;;8;OQ;28
02335431;1;1;53;4;1;1;1;27;;1 926,84;552,49;12;OQ;11
02335658;1;1;37;4;2;1;1;47;;3 994,85;;15;GZ;84
02336889;1;2;47;4;1;2;9;37;2;1 964,33;;21;OQ;32
02338245;1;2;36;6;2;1;2;8;;1 828,99;2 127,38;1;MN;24
02338769;1;1;37;3;1;1;1;39;;2 294,80;;7;BE;76
02338798;1;1;22;9;1;1;9;38;;999 999,00;2 005,55;6;OQ;84
02340671;1;1;42;7;1;1;2;10;1;1 969,59;835,39;16;JZ;11
02341024;1;2;48;4;1;1;1;42;;2 768,51;;1;OQ;32
02342506;1;2;44;7;1;1;2;25;;3 458,75;;11;OQ;11
02343704;1;1;29;4;2;1;1;99;;1 715,97;;4;BE;11
02346483;1;2;25;5;1;1;2;21;;1 611,43;1 509,71;1;JZ;32
02346788;1;2;55;6;1;1;1;37;;2 535,60;;3;OQ;24
02347729;1;2;51;5;1;1;1;39;;3 781,80;447,84;0;OQ;32
02348525;1;1;50;3;1;1;1;31;;4 203,39;598,69;1;MN;32
02348529;1;2;48;9;1;1;2;21;;1 067,32;;3;FZ;84
02348835;1;2;25;4;2;1;9;46;;1 303,07;;9;HZ;84
02348843;1;2;28;3;1;1;2;23;;1 201,98;2 421,31;5;OQ;32
02350187;1;2;38;1;1;1;2;26;;626,66;;3;MN;11
02350311;1;2;58;6;1;2;1;32;;2 784,65;170,36;7;OQ;76
02350356;1;1;46;3;2;2;1;35;;2 798,56;1 534,64;1;OQ;84
02350876;1;1;43;6;1;2;1;42;;2 371,67;1 901,33;1;AZ;44
02350902;1;2;42;7;2;2;2;9;;1 713,17;;8;AZ;93
02352603;1;1;60;1;2;1;1;39;1;1 812,10;;8;MN;28
02352616;1;1;52;7;1;1;1;37;;4 860,71;;27;OQ;93
02354656;1;1;28;6;1;1;1;99;;1 621,28;;9;MN;93
02355504;1;1;15;3;3;8;1;60;;0,00;;-1;FZ;75
02355504;2;1;15;3;3;8;1;60;;0,00;;-1;OQ;53
02355602;1;1;54;3;2;1;2;13;;949,71;3 409,34;2;GZ;11
02356685;1;2;55;4;1;1;1;34;;2 049,77;1 900,05;0;BE;28
02356695;1;1;36;2;1;1;1;37;;1 624,91;999 999,00;6;MN;75
02356695;2;1;36;2;1;1;2;27;;998,89;;1;RU;27
02359565;1;1;61;4;1;1;1;33;;2 825,74;;5;BE;28
02359634;1;2;59;9;2;1;2;20;;1 076,09;;13;GZ;27
02360081;1;1;28;7;1;1;1;39;2;4 513,29;385,58;8;BE;24
02360360;1;1;27;6;2;1;1;35;;999 999,00;;1;FZ;76
02360424;1;1;32;4;3;8;2;37;;0,00;;-1;OQ;11
02360975;1;2;50;3;1;1;1;38;;2 026,82;2 184,13;6;HZ;93
02363794;1;2;61;7;2;1;1;43;1;3 410,68;988,85;9;RU;84
02364980;1;1;57;7;1;1;1;28;;3 979,89;;15;MN;84
02366830;1;2;45;3;1;1;2;29;;1 602,63;954,67;14;BE;84
02368993;1;1;33;1;1;1;1;30;99;1 884,56;;3;GZ;32
02370358;1;1;58;1;1;1;2;22;;1 060,20;;0;GZ;53
02370417;1;1;58;7;1;1;2;11;;1 293,07;;5;FZ;75
02370603;1;2;36;2;1;1;1;44;;3 428,82;;3;HZ;53
02370839;1;1;57;5;1;2;1;42;;2 404,97;;0;GZ;52
02371528;1;2;18;3;1;2;1;39;;1 414,77;421,09;2;OQ;76
02373482;1;2;53;4;1;1;1;40;;3 213,05;;5;BE;76
02373594;1;2;46;1;2;1;2;17;;1 827,44;509,67;9;GZ;75
02373908;1;2;39;5;3;8;2;38;;0,00;;-1;BE;75
02373908;2;2;39;5;3;8;2;99;;0,00;;-1;OQ;84
02375539;1;1;28;4;1;1;1;36;;2 812,00;1 282,31;10;RU;32
02377344;1;2;21;6;1;1;1;38;;2 780,08;1 364,12;2;OQ;84
02377735;1;1;62;5;2;1;2;26;;837,59;;1;OQ;52
02378432;1;1;33;6;1;1;1;30;;9 331,02;;1;GZ;24
02378542;1;1;34;4;2;1;1;36;;1 769,05;1 321,11;18;GZ;53
02379672;1;2;55;1;1;1;1;39;;2 127,37;;5;OQ;28
02380846;1;1;32;6;1;1;1;42;;3 571,42;1 392,57;3;RU;11
02382944;1;2;24;1;1;1;1;43;2;1 784,58;;8;MN;84
02382975;1;1;46;3;1;1;1;41;;999 999,00;;30;BE;52
02382975;2;1;46;3;1;1;1;41;;1 765,11;;0;OQ;52
02383659;1;1;29;7;1;1;9;46;;2 408,22;;0;OQ;76
02386965;1;1;23;4;1;2;1;40;;999 999,00;;1;MN;53
02391631;1;2;20;3;1;9;2;11;1;711,94;1 004,68;4;MN;76
02394145;1;1;54;5;1;1;1;46;;2 511,83;1 014,15;0;FZ;27
02394265;1;2;58;6;1;1;1;30;;2 931,09;;7;GZ;44
02394437;1;1;27;4;2;1;1;42;;1 337,06;;3;FZ;28
02395290;1;2;48;5;2;2;1;38;;2 891,37;;9;GZ;93
02396706;1;1;47;4;3;8;1;49;;0,00;;-1;OQ;84
02396706;2;1;47;4;3;8;1;59;;0,00;;-1;BE;44
02397166;1;1;45;7;3;8;1;57;;0,00;;-1;GZ;84
02397209;1;1;25;7;1;1;1;26;;5 013,88;960,79;3;GZ;44
02397892;1;1;31;5;1;1;1;43;;2 459,66;;9;GZ;11
02399615;1;1;59;6;1;1;1;44;;3 581,01;;18;OQ;53
02399744;1;1;33;3;1;1;1;46;;1 278,29;;17;RU;32
02399944;1;1;41;1;2;1;1;38;1;2 004,97;;1;BE;75
02400057;1;2;22;1;1;1;1;46;;1 296,81;;6;RU;32
02400522;1;2;45;6;1;1;2;10;;1 366,23;1 948,48;0;GZ;53
02400621;1;1;52;4;1;2;1;36;;999 999,00;;0;FZ;93
02401506;1;1;35;3;1;1;1;35;;2 514,76;;15;OQ;76
02402405;1;1;25;4;1;1;2;15;;1 394,66;;9;OQ;84
02403718;1;2;37;4;1;1;1;39;;1 617,90;;3;OQ;84
02404148;1;2;31;4;1;1;1;37;;2 862,89;;9;GZ;32
02404538;1;2;20;6;1;1;1;46;;999 999,00;682,25;4;GZ;76
02405495;1;2;31;1;3;8;2;48;;0,00;;-1;OQ;93
02405722;1;2;19;6;2;1;1;51;;2 034,14;;3;MN;44
02405747;1;2;40;5;2;2;1;42;;2 418,12;;5;OQ;44
02406092;1;2;51;5;3;8;1;60;;0,00;;-1;RU;11
02406092;2;2;51;5;3;8;2;45;;0,00;;-1;GZ;76
02406661;1;2;20;5;1;1;1;39;;1 699,29;238,19;4;MN;84
02409604;1;1;54;4;1;2;1;30;3;4 275,52;1 054,94;6;GZ;75
02410922;1;1;62;4;2;1;1;40;1;3 138,52;;1;FZ;27
02412993;1;1;52;1;1;1;1;32;1;2 056,94;;10;OQ;44
02413709;1;1;50;4;1;1;1;41;;3 253,99;;7;MN;84
02413827;1;1;56;5;1;2;1;42;;2 882,89;999 999,00;9;BE;76
02413995;1;1;55;5;2;1;1;44;;4 006,00;;11;BE;11
02414911;1;2;23;5;1;2;1;99;;985,66;1 544,86;3;FZ;76
02414967;1;1;54;1;2;1;1;37;2;1 438,99;;4;OQ;32
02415029;1;2;31;7;2;3;1;33;;4 684,85;1 539,32;0;RU;11
02416352;1;2;37;5;2;1;2;18;;1 481,90;;4;BE;84
02417502;1;1;59;3;2;1;9;99;;4 932,57;1 119,13;2;GZ;24
02419598;1;2;30;3;1;1;2;12;;2 292,67;;14;GZ;27
02420040;1;2;61;7;2;1;2;21;;1 748,66;2 034,66;2;OQ;11
02420040;2;2;61;7;2;1;2;25;;2 068,17;999 999,00;20;FZ;52
02420379;1;2;29;3;2;1;1;37;;1 777,80;;4;FZ;93
02424914;1;1;47;4;2;1;1;60;;3 807,06;1 339,54;9;OQ;84
02426033;1;2;43;7;1;1;1;40;;999 999,00;2 854,13;6;GZ;76
02426033;2;2;43;7;1;1;2;20;;2 410,67;999 999,00;0;OQ;84
02426728;1;2;54;9;1;2;1;30;;2 411,90;1 421,28;1;GZ;84
02427210;1;2;38;3;1;1;2;18;;1 487,66;795,82;19;OQ;11
02427458;1;1;36;7;1;1;9;35;;3 241,16;2 066,16;12;MN;75
02429052;1;1;27;4;2;1;2;16;;1 340,27;2 647,35;10;MN;76
02429694;1;2;29;6;1;1;2;26;;592,24;;3;JZ;84
02431470;1;2;40;4;2;1;2;20;;1 301,15;1 776,09;4;OQ;84
02432517;1;1;55;4;1;1;1;35;;3 645,18;;2;OQ;32
02433638;1;1;50;3;2;1;1;43;;1 719,98;1 683,68;3;MN;52
02437136;1;2;55;1;1;1;1;43;;1 072,16;910,45;2;RU;44
02440686;1;2;49;7;1;1;1;37;1;4 566,34;;3;AZ;75
02441177;1;2;57;5;2;1;1;39;;3 444,10;;0;JZ;52
02441444;1;2;51;2;1;1;1;30;;3 468,18;;8;OQ;93
02441816;1;1;62;4;2;1;1;37;;1 860,71;1 016,94;4;OQ;75
02442053;1;1;57;5;1;1;1;40;;999 999,00;1 566,31;5;OQ;11
02442053;2;1;57;5;1;1;9;45;1;3 036,76;;0;FZ;75
02442781;1;1;32;3;1;1;1;40;;3 092,21;;3;MN;52
02442986;1;2;32;1;1;1;1;36;;1 470,17;3 954,79;5;OQ;11
02442989;1;1;52;4;2;1;1;36;;1 476,10;1 455,11;1;AZ;52
02445307;1;2;46;4;1;2;1;40;1;1 901,13;;9;MN;44
02446088;1;2;60;6;2;2;1;34;;1 890,73;;13;OQ;28
02446344;1;1;74;1;2;1;1;31;;999 999,00;;1;OQ;44
02447445;1;2;37;7;1;2;1;38;;999 999,00;;5;OQ;76
02449620;1;1;23;4;2;1;1;35;;1 428,15;791,79;4;MN;44
02451332;1;1;42;3;2;1;1;40;;1 570,60;197,29;0;AZ;11
02453491;1;1;28;3;1;2;1;38;;1 534,04;999 999,00;10;OQ;11
02454120;1;2;67;2;1;1;1;32;;4 137,94;;17;MN;52
02454120;2;2;67;2;1;1;2;9;;2 103,77;;2;OQ;93
02454914;1;2;39;7;2;1;1;42;;3 861,52;;10;BE;84
02455141;1;2;22;6;1;1;1;37;;2 699,75;3 515,75;6;GZ;93
02457704;1;2;44;7;2;1;1;46;;999 999,00;1 658,66;2;RU;53
